example,title_idx,token,weight
29,2659,RoV,0.06140134060809111
29,2659,Shorts,0.02928511618282667
29,2659,ท,0.024985002129446855
29,2659,ลากห,0.016891262535685788
29,2659,าช,-0.016039117656687234
29,2659,งเหร,0.0134682228951674
29,2659,มชาต,0.011227539138689095
29,2659,ยญทอง,-0.01083611208424896
29,2659,พาไทยเข,-0.00888452045706462
29,2659,Gildur,0.00869380555870346
